model,episode,elo
PPO_SelfPlay,485,1208.3175048828125
PPO_SelfPlay,486,1224.38623046875
PPO_SelfPlay,487,1235.2301025390625
PPO_SelfPlay,488,1241.796630859375
PPO_SelfPlay,489,1248.16796875
PPO_SelfPlay,490,1254.354248046875
PPO_SelfPlay,491,1260.36474609375
PPO_SelfPlay,492,1266.208251953125
PPO_SelfPlay,493,1271.8927001953125
PPO_SelfPlay,494,1277.4259033203125
PPO_SelfPlay,495,1282.814697265625
PPO_SelfPlay,496,1269.443603515625
PPO_SelfPlay,497,1275.0416259765625
PPO_SelfPlay,498,1280.4923095703125
PPO_SelfPlay,499,1300.863525390625
PPO_SelfPlay,500,1305.6744384765625
PPO_SelfPlay,501,1310.373291015625
PPO_SelfPlay,502,1314.96484375
PPO_SelfPlay,503,1319.453369140625
PPO_SelfPlay,504,1323.843017578125
PPO_SelfPlay,505,1328.137939453125
PPO_SelfPlay,506,1334.8416748046875
PPO_SelfPlay,507,1338.906494140625
PPO_SelfPlay,508,1342.88916015625
PPO_SelfPlay,509,1346.7923583984375
PPO_SelfPlay,510,1363.11474609375
PPO_SelfPlay,511,1366.6363525390625
PPO_SelfPlay,512,1347.64306640625
PPO_SelfPlay,513,1351.4534912109375
PPO_SelfPlay,514,1367.7325439453125
PPO_SelfPlay,515,1371.171630859375
PPO_SelfPlay,516,1374.5504150390625
PPO_SelfPlay,517,1345.870849609375
PPO_SelfPlay,518,1349.7156982421875
PPO_SelfPlay,519,1353.486328125
PPO_SelfPlay,520,1357.1854248046875
PPO_SelfPlay,521,1360.8153076171875
PPO_SelfPlay,522,1366.3963623046875
PPO_SelfPlay,523,1369.859130859375
PPO_SelfPlay,524,1373.2608642578125
PPO_SelfPlay,525,1376.6033935546875
PPO_SelfPlay,526,1379.888916015625
PPO_SelfPlay,527,1383.1190185546875
PPO_SelfPlay,528,1365.7576904296875
PPO_SelfPlay,529,1371.065185546875
PPO_SelfPlay,530,1374.44580078125
PPO_SelfPlay,531,1377.7679443359375
PPO_SelfPlay,532,1349.03369140625
PPO_SelfPlay,533,1352.8173828125
PPO_SelfPlay,534,1368.2841796875
PPO_SelfPlay,535,1376.8604736328125
PPO_SelfPlay,536,1392.5836181640625
PPO_SelfPlay,537,1405.5440673828125
PPO_SelfPlay,538,1408.369873046875
PPO_SelfPlay,539,1411.154052734375
PPO_SelfPlay,540,1413.897705078125
PPO_SelfPlay,541,1426.433837890625
PPO_SelfPlay,542,1428.9647216796875
PPO_SelfPlay,543,1432.746826171875
PPO_SelfPlay,544,1443.9354248046875
PPO_SelfPlay,545,1422.1680908203125
PPO_SelfPlay,546,1424.7568359375
PPO_SelfPlay,547,1435.811767578125
PPO_SelfPlay,548,1446.66162109375
PPO_SelfPlay,549,1448.9342041015625
